category,title,company,location,salary_min,salary_max,salary_is_predicted,posted_date,remote_type,employment_time,employment_type,seniority,url,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8
accounting-finance-jobs,Senior Associate - Accounting and Finance,"Evolution Risk Partners, LLC","Chicago, Cook County",78770.2,78770.2,1,2025-08-08T15:27:53Z,on-site,,permanent,senior,https://www.adzuna.com/details/5344044723?utm_medium=api&utm_source=8b89c1ee,excel,,,,,,,
accounting-finance-jobs,Planning Analyst - Intern,Hantz Group,"Okemos, Ingham County",33286.8,33286.8,1,2025-11-11T09:53:16Z,on-site,,contract,mid,https://www.adzuna.com/details/5490834115?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
accounting-finance-jobs,Client Account Specialist (Law Firm Billing Exp. Required),Fawkes IDM,"Los Angeles, Los Angeles County",48000,95000,0,2025-02-25T13:20:24Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5063365485?utm_medium=api&utm_source=8b89c1ee,r,,,,,,,
accounting-finance-jobs,Junior/Entry Budget Analyst,MDW Associates,"Nassau Bay, Harris County",107183.06,107183.06,1,2025-11-18T12:18:51Z,on-site,full-time,permanent,junior,https://www.adzuna.com/details/5502079055?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Senior Software Engineer,PCS Software Inc,"Walnut Bend, Houston",100000,150000,0,2025-12-29T10:05:04Z,on-site,,permanent,senior,https://www.adzuna.com/details/5559097869?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Civil Project Manager/Senior Project Manager - Traffic Analysis and Planning,Timmons Group,"Richmond, Richmond County",76125.97,76125.97,1,2025-12-02T02:13:31Z,on-site,,permanent,senior,https://www.adzuna.com/details/5523621886?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Help Desk Analyst,Harvard Bioscience,"New Brighton, Ramsey County",45760,72800,0,2025-12-12T13:31:11Z,on-site,,permanent,mid,https://www.adzuna.com/details/5539741063?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Solution Architect - Data Model Design,Tek Spikes,"Plano, Collin County",89349.89,89349.89,1,2025-11-17T14:16:01Z,on-site,,contract,senior,https://www.adzuna.com/details/5500720815?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Systems Administrator | REMOTE,Accord Technologies Inc.,"Metrocenter, Hinds County",104000,104000,0,2025-12-25T15:19:12Z,on-site,,permanent,mid,https://www.adzuna.com/details/5555944662?utm_medium=api&utm_source=8b89c1ee,azure,,,,,,,
it-jobs,Data Analyst,Quality Talent Group,"Niles, Cook County",94830.33,94830.33,1,2025-12-16T22:21:30Z,on-site,,permanent,mid,https://www.adzuna.com/details/5545245234?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
